Student,LPIPS,SSIM
111590047.png,0.0,1.0
113590026.png,0.1477358639240265,0.8018614207164003
113590033.png,0.15360313653945923,0.773665877193604
113370239.png,0.17465229332447052,0.7375022807804724
113590031.png,0.18195873498916626,0.7005524227783371
113590040.png,0.2130107879638672,0.7150905409207942
113590051.png,0.230267733335495,0.6941800120889444
113590039.png,0.2323424220085144,0.7008839748432326
113590056.png,0.23885174095630646,0.727297259375518
113590005.png,0.24861881136894226,0.7522831059578952
113590047.png,0.25228050351142883,0.7578554189449982
113590044.png,0.2560802102088928,0.7183520295662748
113590015.png,0.25753694772720337,0.6892274005210776
113590001.png,0.26191049814224243,0.6792928755256304
113590003.png,0.26351815462112427,0.6712356910423172
111590028.png,0.2694380581378937,0.7074068208055373
113590021.png,0.2698971927165985,0.6425789615822264
113590032.png,0.2724197506904602,0.7192567364859319
112590452.png,0.2775716185569763,0.7218695190873378
111590062.png,0.285407692193985,0.6860320750894809
113590022.png,0.2888885736465454,0.6575673951837742
113590004.png,0.29428917169570923,0.7565194818204534
110590455.png,0.2966441810131073,0.6804912009028689
113590052.png,0.3017745912075043,0.6426833229312243
112590454.png,0.30257660150527954,0.6526037757189838
113590057.png,0.3132266402244568,0.6484877116266888
113590010.png,0.3166738748550415,0.6195034504015222
113590043.png,0.3209265470504761,0.7736803836963216
113590045.png,0.32621079683303833,0.616055870165658
113590036.png,0.32633575797080994,0.647069116659294
113590025.png,0.32757771015167236,0.7741855987054989
112590040.png,0.3292805850505829,0.6190834320239941
113AC1012.png,0.3408215641975403,0.6632691970734039
113AB0018.png,0.34381988644599915,0.6263616172431367
112590455.png,0.3453700840473175,0.6591466136152411
111590042.png,0.3558700382709503,0.7855762834911065
113590006.png,0.3622778654098511,0.5807422316608722
113590002.png,0.3734278380870819,0.6365720881426422
113590059.png,0.3774428069591522,0.6145071607860627
113590018.png,0.3844674229621887,0.6391549833434921
113590028.png,0.38945040106773376,0.5988849289149414
113590011.png,0.40293702483177185,0.6182735897804393
113590050.png,0.4067747890949249,0.5544326053932909
113590042.png,0.42007312178611755,0.6032064443915429
113590023.png,0.4226633608341217,0.5436708566905191
113590049.png,0.4411987066268921,0.5231412986313333
111590455.png,0.4860672354698181,0.5774238338260894
113590008.png,0.5179769396781921,0.4842765324753507
112590058.jpg,0.5293245315551758,0.44454196087406206
113590013.png,0.5345155596733093,0.39455735805412356
